player,span,matches_played,innings_bowled,balls,overs,maidens_earned,runs,wickets,best_innings_bowlingq,bowling_average,economy_rate,bowling_strike_rate,four_wickets,five_wickets,ten_wickets,four_plus_wickets
Pratis GC (BIK),2024-2024,6,6,114,19.0,1,127,9,4/17,14.11,6.68,12.66,2,-,-,2
N Saud (SPR),2024-2024,8,7,85,14.1,-,97,6,5/19,16.16,6.84,14.16,-,1,-,1
RK Paudel (LUL),2024-2024,7,6,114,19.0,-,107,8,4/17,13.37,5.63,14.25,1,-,-,1
Karan KC (KAG),2024-2024,7,7,143,23.5,-,152,12,4/16,12.66,6.37,11.91,1,-,-,1
WG Bosisto (KAY),2024-2024,7,7,144,24.0,1,164,9,6/28,18.22,6.83,16.00,-,1,-,1
SC Kuggeleijn (SPR),2024-2024,9,9,173,28.5,1,210,17,5/18,12.35,7.28,10.17,-,1,-,1
Sohail Tanvir (CHR),2024-2024,8,8,182,30.2,1,174,14,5/21,12.42,5.73,13.00,-,1,-,1
H Thaker (JAB),2024-2024,10,9,186,31.0,2,197,11,5/23,17.90,6.35,16.90,-,1,-,1
K Mahato (JAB),2024-2024,10,10,198,33.0,1,265,14,4/35,18.92,8.03,14.14,1,-,-,1
