player,span,matches_played,innings_bowled,overs,maidens_earned,conceded,wickets,best_innings_bowling,bowling_average,economy_rate,bowling_strike_rate,five_wickets,ten_wickets,catches,stumpings
Lokesh Bam,2024-2024,7,1,1.0,-,8,1,1/8,8.00,8.00,6.0,-,-,2,-
Pratis GC,2024-2024,6,6,19.0,1,127,9,4/17,14.11,6.68,12.6,-,-,4,-
Basir Ahamad,2024-2024,7,6,19.0,1,123,6,2/22,20.50,6.47,19.0,-,-,4,-
RP Magar,2024-2024,5,1,2.0,-,22,1,1/22,22.00,11.00,12.0,-,-,-,-
CB Sole,2024-2024,7,7,27.0,-,200,9,2/21,22.22,7.40,18.0,-,-,3,-
A Kharel,2024-2024,5,5,14.0,-,123,5,3/26,24.60,8.78,16.8,-,-,1,-
Subash Bhandari,2024-2024,3,2,4.1,-,31,1,1/27,31.00,7.44,25.0,-,-,-,-
S Lamichhane,2024-2024,7,7,28.0,-,191,6,3/19,31.83,6.82,28.0,-,-,1,-
Ismat Alam,2024-2024,3,3,7.0,-,72,2,1/21,36.00,10.28,21.0,-,-,-,-
Aqib Ilyas,2024-2024,2,2,7.0,-,50,1,1/31,50.00,7.14,42.0,-,-,-,-
JK Mukhiya,2024-2024,1,1,2.0,-,12,0,-,-,6.00,-,-,-,-,-
NR Kirton,2024-2024,7,3,3.3,-,29,0,-,-,8.28,-,-,-,2,-
N Bhatta,2024-2024,2,-,0.0,-,-,0,-,-,-,-,-,-,-,-
D Bohara,2024-2024,6,-,0.0,-,-,0,-,-,-,-,-,-,3,-
SA Edwards,2024-2024,3,-,0.0,-,-,0,-,-,-,-,-,-,2,-
MJ Guptill,2024-2024,6,-,0.0,-,-,0,-,-,-,-,-,-,2,-
