player,span,matches_played,innings_bowled,balls,maidens_earned,conceded,wickets,best_innings_bowling,bowling_average,economy_rate,bowling_strike_rate,five_wickets,ten_wickets,catches,stumpings
MG Erasmus,2024-2024,7,7,25.1,-,131,11,3/17,11.90,5.20,13.7,-,-,1,-
D Kandel,2024-2024,6,5,16.0,-,87,7,3/6,12.42,5.43,13.7,-,-,1,-
Karan KC,2024-2024,7,7,23.5,-,152,12,4/16,12.66,6.37,11.9,-,-,1,-
Shahab Alam,2024-2024,7,7,23.0,-,125,6,3/20,20.83,5.43,23.0,-,-,3,-
Rashid Khan,2024-2024,7,6,17.2,-,136,6,3/43,22.66,7.84,17.3,-,-,1,-
DA Douthwaite,2024-2024,4,3,6.5,-,50,2,1/14,25.00,7.31,20.5,-,-,2,-
M Levitt,2024-2024,7,2,6.0,-,45,1,1/13,45.00,7.50,36.0,-,-,4,-
NA Sowter,2024-2024,3,3,9.0,-,86,1,1/32,86.00,9.55,54.0,-,-,-,-
B Sharki,2024-2024,7,3,5.0,-,30,0,-,-,6.00,-,-,-,3,-
SS Eskinazi,2024-2024,7,-,0.0,-,-,0,-,-,-,-,-,-,1,2
S Maharjan,2024-2024,5,-,0.0,-,-,0,-,-,-,-,-,-,-,-
S Rana,2024-2024,4,-,0.0,-,-,0,-,-,-,-,-,-,1,-
R Rijal,2024-2024,1,-,0.0,-,-,0,-,-,-,-,-,-,-,-
P Shrestha,2024-2024,5,-,0.0,-,-,0,-,-,-,-,-,-,-,-
