player,matches_played,innings_batted,not_outs,runs,balls_faced,highest_inns_score,batting_average,batting_strike_rate,hundreds_scored,fifties_scored,ducks_scored,boundary_fours,boundary_sixes
AGS Gous,6,6,1,224,136,104,44.8,164.7,1,-,1,30,9
RA Reifer,7,6,2,146,136,41,36.5,107.35,-,-,-,7,7
D Kharel,7,7,1,162,142,61,27,114.08,-,1,-,17,8
MJJ Critchley,4,3,-,52,55,35,17.33,94.54,-,-,1,5,1
K Thagunna,3,2,-,33,30,32,16.5,110,-,-,-,3,1
N Joshi,6,5,2,38,33,30,12.66,115.15,-,-,1,3,2
D Nath,6,5,-,46,51,27,9.2,90.19,-,-,-,2,2
K Bhurtel,7,6,-,54,65,31,9,83.07,-,-,2,4,2
AP Gomel,1,1,-,8,15,8,8,53.33,-,-,-,0,0
MA Leask,7,6,-,44,35,25,7.33,125.71,-,-,1,1,4
Z Malik,2,2,-,14,24,10,7,58.33,-,-,-,0,0
Bipin Khatri,7,5,1,24,26,10,6,92.3,-,-,1,0,2
Aakash Chand,4,1,-,1,3,1,1,33.33,-,-,-,0,0
S Aryal,1,1,-,-,0,-,-,-,-,-,1,0,0
TR Das,1,1,-,-,1,-,-,-,-,-,1,0,0
BFW de Leede,1,1,-,-,1,-,-,-,-,-,1,0,0
S Dhakal,7,4,4,2,5,1,-,40,-,-,-,0,0
