team_1,team_2,team runs,team wickets,overs,run_rate,ground,match_date
Biratnagar,Lumbini,384,15,39.5,9.64,Kirtipur,4 Dec 2024
S Paschim,Janakpur,369,14,39.2,9.38,Kirtipur,21 Dec 2024
Lumbini,Pokhara,346,5,36.5,9.39,Kirtipur,6 Dec 2024
Lumbini,S Paschim,329,13,40.0,8.22,Kirtipur,7 Dec 2024
Chitwan,Karnali,329,15,40.0,8.22,Kirtipur,18 Dec 2024
Chitwan,Janakpur,328,15,38.0,8.63,Kirtipur,14 Dec 2024
Biratnagar,Chitwan,311,11,40.0,7.77,Kirtipur,13 Dec 2024
Karnali,Kathmandu,302,12,39.3,7.64,Kirtipur,4 Dec 2024
Chitwan,Lumbini,301,14,40.0,7.52,Kirtipur,10 Dec 2024
Pokhara,S Paschim,301,17,39.4,7.58,Kirtipur,15 Dec 2024
S Paschim,Chitwan,295,15,38.2,7.69,Kirtipur,8 Dec 2024
Janakpur,Karnali,283,9,35.1,8.04,Kirtipur,2 Dec 2024
Pokhara,Janakpur,281,10,37.1,7.56,Kirtipur,5 Dec 2024
S Paschim,Janakpur,280,11,38.3,7.27,Kirtipur,18 Dec 2024
Pokhara,Kathmandu,280,12,34.1,8.19,Kirtipur,14 Dec 2024
Pokhara,Biratnagar,278,13,40.0,6.95,Kirtipur,12 Dec 2024
S Paschim,Biratnagar,274,17,36.1,7.57,Kirtipur,3 Dec 2024
Janakpur,Lumbini,271,17,40.0,6.77,Kirtipur,8 Dec 2024
Karnali,Chitwan,262,11,39.5,6.57,Kirtipur,6 Dec 2024
Kathmandu,S Paschim,261,16,35.5,7.28,Kirtipur,5 Dec 2024
Karnali,Biratnagar,259,18,40.0,6.47,Kirtipur,7 Dec 2024
Biratnagar,Janakpur,258,12,34.3,7.47,Kirtipur,30 Nov 2024
Lumbini,Karnali,251,15,40.0,6.27,Kirtipur,13 Dec 2024
Janakpur,Karnali,237,17,39.0,6.07,Kirtipur,19 Dec 2024
Biratnagar,Kathmandu,237,19,38.0,6.23,Kirtipur,15 Dec 2024
Chitwan,Pokhara,235,17,33.2,7.05,Kirtipur,3 Dec 2024
Kathmandu,Chitwan,225,14,37.1,6.05,Kirtipur,2 Dec 2024
Karnali,Pokhara,209,13,31.3,6.63,Kirtipur,10 Dec 2024
S Paschim,Karnali,206,14,35.2,5.83,Kirtipur,16 Dec 2024
Janakpur,Kathmandu,205,15,35.2,5.8,Kirtipur,12 Dec 2024
Kathmandu,Lumbini,188,20,38.4,4.86,Kirtipur,11 Dec 2024
Janakpur,S Paschim,174,19,32.1,5.4,Kirtipur,11 Dec 2024
