team_1,team_2,winner,margin,ground,match_date
S Paschim,Janakpur,Janakpur,5 wickets,Kirtipur,"Dec 21, 2024"
Janakpur,Karnali,Janakpur,2 wickets,Kirtipur,"Dec 19, 2024"
S Paschim,Janakpur,S Paschim,8 wickets,Kirtipur,"Dec 18, 2024"
Chitwan,Karnali,Karnali,21 runs,Kirtipur,"Dec 18, 2024"
S Paschim,Karnali,S Paschim,6 wickets,Kirtipur,"Dec 16, 2024"
Pokhara,S Paschim,S Paschim,5 runs,Kirtipur,"Dec 15, 2024"
Biratnagar,Kathmandu,Kathmandu,1 wicket,Kirtipur,"Dec 15, 2024"
Chitwan,Janakpur,Chitwan,32 runs,Kirtipur,"Dec 14, 2024"
Pokhara,Kathmandu,Kathmandu,6 wickets,Kirtipur,"Dec 14, 2024"
Biratnagar,Chitwan,Biratnagar,51 runs,Kirtipur,"Dec 13, 2024"
Lumbini,Karnali,Karnali,5 runs,Kirtipur,"Dec 13, 2024"
Janakpur,Kathmandu,Janakpur,5 wickets,Kirtipur,"Dec 12, 2024"
Pokhara,Biratnagar,tied,-,Kirtipur,"Dec 12, 2024"
Kathmandu,Lumbini,Kathmandu,18 runs,Kirtipur,"Dec 11, 2024"
Janakpur,S Paschim,S Paschim,72 runs,Kirtipur,"Dec 11, 2024"
Karnali,Pokhara,Karnali,7 wickets,Kirtipur,"Dec 10, 2024"
Chitwan,Lumbini,Lumbini,33 runs,Kirtipur,"Dec 10, 2024"
S Paschim,Chitwan,Chitwan,33 runs,Kirtipur,"Dec 8, 2024"
Janakpur,Lumbini,Janakpur,1 run,Kirtipur,"Dec 8, 2024"
Karnali,Biratnagar,Karnali,7 runs,Kirtipur,"Dec 7, 2024"
Lumbini,S Paschim,S Paschim,45 runs,Kirtipur,"Dec 7, 2024"
Lumbini,Pokhara,Pokhara,10 wickets,Kirtipur,"Dec 6, 2024"
Karnali,Chitwan,Karnali,6 wickets,Kirtipur,"Dec 6, 2024"
Kathmandu,S Paschim,S Paschim,73 runs,Kirtipur,"Dec 5, 2024"
Pokhara,Janakpur,Janakpur,7 wickets,Kirtipur,"Dec 5, 2024"
Biratnagar,Lumbini,Biratnagar,2 wickets,Kirtipur,"Dec 4, 2024"
Karnali,Kathmandu,Kathmandu,3 wickets,Kirtipur,"Dec 4, 2024"
Chitwan,Pokhara,Chitwan,87 runs,Kirtipur,"Dec 3, 2024"
S Paschim,Biratnagar,S Paschim,90 runs,Kirtipur,"Dec 3, 2024"
Janakpur,Karnali,Janakpur,8 wickets,Kirtipur,"Dec 2, 2024"
Kathmandu,Chitwan,Chitwan,5 wickets,Kirtipur,"Dec 2, 2024"
Biratnagar,Janakpur,Janakpur,8 wickets,Kirtipur,"Nov 30, 2024"
